ID_Registro,Fecha_Medicion,Provincia,Tipo_Residuo,Toneladas
REG-1533,09/04/2024,Córdoba,Orgánico,2782.99
REG-1139,30/06/2025,Buenos Aires,Peligrosos,1485.73
REG-1088,06/04/2025,Buenos Aires,Orgánico,257.19
REG-1841,24/03/2025,santa fe,Vidrio,1772.48
REG-1985,20/01/2026,Córdoba,Orgánico,3973.28
REG-2037,23/10/2025,Córdoba,Plásticos,613.34
REG-1286,17/04/2025,Buenos Aires,Papel y Cartón,3196.09
REG-1602,25/10/2025,Tucumán,Plásticos,514.93
REG-1321,10/09/2024,Córdoba,Orgánico,3730.97
REG-1715,31/03/2025,Buenos Aires,Orgánico,2827.73
REG-1926,25/09/2025,Mendoza,Plásticos,1219.16
REG-1948,16/02/2024,Salta,Vidrio,1538.97
REG-1997,29/09/2024,Salta,Orgánico,4220.34
REG-1599,08/04/2024,Córdoba,Plásticos,5803.71
REG-1567,12/01/2024,Salta,Peligrosos,1409.64
REG-1675,05/03/2026,Mendoza,Orgánico,
REG-1543,16/01/2024,Misiones,Papel y Cartón,978.23
REG-1519,05/08/2024,Bs As,Orgánico,291.49
REG-1765,08/01/2024,Misiones,Plásticos,1688.42
REG-1767,13/12/2024,Córdoba,Orgánico,1260.87
REG-1044,20/07/2025,Salta,Orgánico,4281.25
REG-1208,13/11/2024,Córdoba,Peligrosos,1568.16
REG-1158,12/01/2026,Tucumán,Plásticos,2889.59
REG-1070,21/03/2024,Córdoba ,Plásticos,2481.34
REG-1199,24/09/2025,Santa Fe,Orgánico,1853.29
REG-1718,21/01/2025,mendoza,Orgánico,3659.87
REG-1318,23/02/2025,Córdoba,Vidrio,3213.93
REG-1388,29/08/2025,Salta,Orgánico,996.92
REG-1096,03/12/2024,Tucumán,Plásticos,667.97
REG-1086,27/09/2024,Córdoba ,Papel y Cartón,1467.93
REG-1344,18/11/2025,Misiones,Vidrio,6628.97
REG-1451,22/11/2025,Mendoza,Orgánico,2476.94
REG-1581,08/09/2025,Córdoba,Orgánico,3097.99
REG-1051,15/06/2024,Misiones,Vidrio,4177.11
REG-1247,02/11/2025,Córdoba ,Papel y Cartón,1572.16
REG-1156,21/11/2025,Santa Fe,Peligrosos,5441.56
REG-1757,12/01/2024,Buenos Aires,Plásticos,2642.91
REG-1493,27/04/2024,Misiones,Peligrosos,337.6
REG-1290,02/09/2025,Mendoza,Vidrio,251.68
REG-1506,02/06/2024,Buenos Aires,Metales,2101.06
REG-1056,14/01/2024,Mendoza,Metales,2924.72
REG-2027,22/11/2025,Misiones,Papel y Cartón,1577.83
REG-1394,09/06/2024,Chaco,Orgánico,4557.84
REG-1872,25/02/2025,Córdoba,Plásticos,1937.83
REG-1572,23/01/2026,Mendoza,Papel y Cartón,2572.29
REG-1174,30/08/2024,Chaco,Orgánico,378.68
REG-1696,18/02/2025,Misiones,Papel y Cartón,2682.16
REG-1561,20/02/2025,Misiones,Plásticos,4574.12
REG-1666,06/05/2025,Chaco,Plásticos,1599.34
REG-1107,05/03/2024,Salta,Orgánico,1331.04
